title,desc,year,genre,certificate,runtime,rating,votes
Gekijouban Bang Dream! Episode of Roselia: Promise,"""Are you prepared to fully devote yourselves to Roselia?"" To reach the stage of ""FES."", Yukina Minato decides to form a band. Each holding their own convictions, the members of the band ...                See full summary »",2021,"Animation, Drama, Music",,77 min,7.7,31
Highly Gifted,"Alan (Drake Bell) did nothing wrong, in a world where his brother betrays him, he must look for support from the kindness of strangers",2017– ,"Animation, Comedy",,,7.7,21
Ulisse,Watch as Ulysses and his men sail to faraway waters in this high quality animated classic for your kids and family. They encounter singing sirens and confront an unforgiving sea. Eventually...                See full summary »,1998,Animation,,88 min,6.4,19
Tex Tinstar: The Best in the West,"The cowboy Tex Tinstar, his horse Here Boy, and Tex's friends Smelly Deputy Chafe, Percy Lacedaisy, and Floyd the Insane Rattlesnake who always get into trouble when pursuing a group of outlaws called the Wrong Riders.",1995,"Animation, Comedy, Family",,7 min,,
A Boy and His Dog,Add a Plot,I,Animation,,,,
Granbelm,"The anime takes place in a world that long ago featured the existence of magic, but has long since lost that ability. The story begins when the very normal high school student Mangetsu ...                See full summary »",2019– ,Animation,,24 min,6.5,57
There She Is,"""There She Is"" is a short love web miniseries about a rabbit named Doki and a (initially hesitant) cat named Nabi. The pair live in a world where cross species love is forbidden and often ...                See full summary »",2003– ,Animation,,,7.6,76
El retorno de D'Artacan,A sequel series to Dogtanian and the Three Muskehounds set ten years after the events of the original. Dogtanian is now married to Juliette with two children. The Muskehounds are reunited by the Queen to investigate a plot.,1990– ,"Animation, Adventure, Comedy",,25 min,6.1,92
Jot,"JOT was a bouncing dot that was sensitive to the inner thoughts and feelings of a child, and changed it's shape and color as it depicted the struggles represented by a child's conscience, ...                See full summary »",1967– ,"Animation, Family",,,7.2,38
Upon a Midnight Clear,"After being bullied by her classmates at a prestigious private school, Frost, an outcast young orphan girl, is text messaged by God on Christmas Eve and given 3 chances to change her life.",2010,"Animation, Drama, Family",,98 min,7.5,30
Gui e Estopa A série,Add a Plot,2004– ,"Animation, Comedy, Family",,,7.9,59
Toonimals,"A fast-paced, gag-heavy animated series that aims to teach kids about an animal species per episode.",1981– ,Animation,,,5.4,8
Creepy Crawlies,Add a Plot,1987– ,"Animation, Family",,,7.4,26
Juanito Jones,"The fantastic adventures of the little boy Juanito Jones, who will confront all sorts of dangerous situations along the way, and of which he will come out unscathed. Of course there is a ...                See full summary »",2001– ,Animation,,,7.7,28
Ikoku Meiro no Croisée,"In the late 19th century, a young Japanese girl comes to France for the first time.",2011,"Animation, Drama",,59 min,7.6,80
Chico and Paco Adventures,Chico and Paco are two Chihuahua brothers that rarely see eye to eye. But their brotherhood is strong when defending themselves against the Alley Cats and other street gangs.,2022– ,"Animation, Adventure",,30 min,,
Myggan,"About a TV producer Myggan who lives next to the Stomatol sign at Slussen, Stockholm, that follows his everyday problems, along with a variety of the Swedish celebrity elite who are mocked for various reasons.",2007– ,"Animation, Comedy",,24 min,6.1,170
The Tales of Wonder Keepers,It teaches children kindness and responsibility and shows positive ways to resolve conflicts.,,Animation,,,,
Hero Books,Add a Plot,,Animation,,,,
The 1 Second Film,"""The 1 Second Film"" will be one second of animation (made of 12 giant paintings) with one hour of credits. A feature length making of documentary will play during the credits, and all ...                See full summary »",,Animation,,60 min,,
L'ultimo esploratore - Vita e avventure del barone Franchetti,"On 7 August 1935 an Italian aircraft S 81, left Rome and directed in Asmara, fell in flames near Cairo. In the accident, died Luigi Razza, Minister of Public Works and the explorer Raimondo Franchetti.",2013,"Animation, History",,54 min,8.6,11
Cosmo Warrior Zero,"Captain Zero, commanding a spaceship crew of human and aliens, is assigned a near-impossible mission: capture the space pirate Captain Harlock. Will he succeed?",2001– ,"Animation, Action, Adventure",,25 min,7.1,108
The Adventures of Jesus and His Brothers,"Jesus meets his brothers Marty, Chuck and Vinnie.",2000,"Animation, Comedy",,3 min,,
The Crazies,"Through 4 motion comic episodes of The Crazies, a outbreak's origins and how it infects and effects the population of Ogden Marsh, unfolds.",2010– ,"Animation, Horror",,,6.5,33
Lensman: Galactic Patrol,Add a Plot,1984–1985,"Animation, Sci-Fi, Action",,,6.2,43
Cinderella Boy,Ranma and Rella are both detectives seeking mysteries and crimes to solve. But one night their lives change when encountering an accident they'll both be effected by the strike of Midnight.,2003– ,"Animation, Action, Comedy",,25 min,6.3,43
Ringelgasse 19,"In the small town of Cheselweck there are seven bus routes and one tram, a museum with a dinosaur, a castle ruin with a great view but no ghosts, and a biscuit factory. Fennel Vennel 19 is ...                See full summary »",2011– ,"Animation, Family",,7 min,7.9,13
Storyteller Café,"These animated episodes bring the Bible to life for ages 5-10. With a laptop computer as the stage, the characters dive into these miraculous stories to learn about God's love. The seven ...                See full summary »",1999– ,Animation,,,,
Kono Sekai no Tanoshimikata: Secret Story Film,"Yujiro has worked hard and diligently practiced for the eventuality to be a kabuki star and rule the art form. Nevertheless, he is passed over and not given the chance he expected. Aizo ...                See full summary »",2020,Animation,,90 min,,
Yuki 7,Add a Plot,2021– ,Animation,,,,
Ice,Add a Plot,2008,"Animation, Drama, Fantasy",,103 min,5.2,40
Mystical Mastani,"Fearless, bold and relentless; there's more than what meets the eye when it comes to the life and heroic times of Mastani. Watch the latest exhilarating motion graphic web series 'Mystical Mastani'.",2015– ,"Animation, Short, History",U,6 min,5.9,16
The Incredible Stories of Bimi Boo and Friends,For the curious puppy Bimi Boo the world is an incredible place with so much to do and learn. He and his very diverse group of friends are constantly pulled into amusing adventures to find answers to their most pressing questions.,2021– ,"Animation, Adventure",,,8.7,16
Le crabe aux pinces d'or,Add a Plot,1947,"Animation, Adventure",,60 min,5.8,140
Limon and Oli,"Sweet little Limon and her rambunctious friend Oli look for snow monsters, hunt for treasure, learn to play musical instruments and more.",2012–2015,Animation,,5 min,,
The Kabocha Wine,Add a Plot,1982–1984,"Animation, Comedy, Romance",,,8.1,34
Hidro and Fluid,Add a Plot,2017– ,"Animation, Comedy",,,7.0,10
Yobarete tobidete! Akubi-chan,Add a Plot,2001–2002,"Animation, Comedy, Fantasy",,25 min,7.7,12
Fresh Precure!,"Love Momozono,a second-year student, goes to see a dance concert called Trinity and is impressed. However, the appearance of a Nakewameke made the concert becomes a disaster but, Love becomes a Legendary Precure to stop it.",2009,"Animation, Action, Comedy",,,8.3,32
Tokimeki Tonight,The trials and travails of a supernatural girl and her family.,1982–1983,"Animation, Comedy, Fantasy",,25 min,8.0,75
Charmed: Magic World,Add a Plot,,"Animation, Drama, Fantasy",,,,
Yokuwakaru gendai mahô,A clumsy high school girl is looking to change herself. She finds a brochure for a school of magic with a powerful head magician that specializes in magic related to computers.,2009– ,"Animation, Action, Comedy",,,5.9,46
Ginga eiyuu densetsu: Ougon no tsubasa,Two friends join the military in order to rise through the ranks and save Reinhard's sister from sexual servitude.,1992,"Animation, Action, Drama",,60 min,6.5,192
Meiken rasshî,"A Japanese animated version of the famous American TV series about a family of farmers and their dog, Lassie. In each episode, someone in the family manages to get into some kind of trouble...                See full summary »",1996,"Animation, Drama, Family",,24 min,7.6,14
The Drakers,Add a Plot,2014– ,Animation,,,6.8,9
Kak poymat pero Zhar-Ptitsy,Add a Plot,2013,"Animation, Family",,80 min,5.0,95
Force of Will,Add a Plot,,"Animation, Fantasy",,,,
The Valentine's Day that Almost Wasn't,An evil woman named Rubella Slime and her brothers Bugsy and Weasel are out to destroy Valentine's Day by spreading hate to everyone. It is up to Sam Cupid and his cupid crew to make sure ...                See full summary »,1982– ,"Animation, Family",,,7.2,16
Totally Tooned In,"65 1/2 hour episodes of almost 200 theatrical cartoons, 3 full length cartoons, mini-cartoons never available on TV. Mr. Magoo is in every episode and they are all in technicolor. This was ...                See full summary »",1999– ,"Animation, Comedy, Family",,30 min,8.7,16
Minami-ke: Tadaima,"The everyday lives of the Minami sisters continue. Chiaki, the youngest, continues to call people idiots while worshipping her eldest sister. Kana, the middle, still can't figure out that ...                See full summary »",2013,"Animation, Comedy, Drama",,24 min,7.6,50
Nefertine,Add a Plot,2021– ,Animation,,,,
Blaster's Universe,"An earthling boy, alien girl and robot dog save the universe from intergalactic villains.",1999– ,"Animation, Adventure, Comedy",,30 min,7.4,46
FilmToons Logic,Add a Plot,2021– ,Animation,,,,
Kelly Dream Club,Add a Plot,2002–2004,"Animation, Adventure, Family",,14 min,,
Freaktown,Freaktown is the place where it is cool to be a ghoul and best friends Ben Bones and Lenny aim to keep it that way. But Princes Boo Boo is intent on turning Freaktown into a place so sweet it'll make you barf rainbows.,2016– ,Animation,,11 min,4.0,72
Leon,Add a Plot,2007–2016,Animation,,,,
The BFG,Add a Plot,,"Animation, Adventure, Family",,,,
The Giddy Game Show,Add a Plot,1985–1987,"Animation, Family",,11 min,8.1,14
Little Mouse on the Prairie,Add a Plot,1996,"Animation, Short, Adventure",,,7.2,34
Caillou and Penny,Caillou must learn to help people in need when he realizes his friend Penny isn't cheerful or happy at all.,2021,Animation,,110 min,8.3,14
Hanayamata,"Hana N. Fountainstand is a transfer student who love Japanese culture as well. She decides to make a YosakoI group with Naru Sekiya, Yaya Sasame, Tami Nishimikado, and Machi Tokiwa.",2014,Animation,,24 min,7.2,83
Jungle Beat 2: The Past,Add a Plot,,Animation,,,,
00K9,"When Oddball, head of the Canine Intelligence Agency (CIA), learns of a villain named Sharposki and his elaborate plot to detonate a nuclear warhead to destroy the CIA and the whole galaxy ...                See full summary »",2020,"Animation, Action, Comedy",,70 min,4.0,14
